Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Winnipeg, MB, Canada",09/16/2017,9.2,7.7,8.2,5,,8.23,,,18.4,31.08,40.6,319.2,6.9,89.85,Rain
"Winnipeg, MB, Canada",09/17/2017,14.5,6.6,10.1,5,,2.76,,,12.5,243.75,44.5,324.6,5.3,73.61,Rain
"Winnipeg, MB, Canada",09/18/2017,19.3,5.8,12.9,6.7,,0,,,5.8,147.58,27.7,327.9,5.7,67.53,Clear
"Winnipeg, MB, Canada",09/19/2017,19.1,12.5,16,,,32.05,,,12.8,103.04,50,327.5,4.6,82.73,Rain
"Winnipeg, MB, Canada",09/20/2017,20.4,11.8,16.5,,,5.91,,,19.1,199.46,50,323.2,2.6,60.4,Rain
"Winnipeg, MB, Canada",09/21/2017,23.2,12.9,16.7,,,0,,,11.7,180.63,53.5,326,4.2,56.99,Clear
"Winnipeg, MB, Canada",09/22/2017,18.2,10.1,13.5,,,9.45,,,19.5,221.04,44.6,326.3,3.9,75.11,Rain
"Winnipeg, MB, Canada",09/23/2017,14.9,9.5,11.8,8.1,,3.55,,,15.6,253.63,40.6,328.9,5.3,78,Rain
"Winnipeg, MB, Canada",09/24/2017,11.2,9.2,10.1,7.4,,23.73,,,13.9,301.67,35.3,322.1,6,91.35,Rain
"Winnipeg, MB, Canada",09/25/2017,11.7,8.3,9.8,6.7,,0,,,10.1,199.04,29.5,330.2,5.2,79.43,Clear
"Winnipeg, MB, Canada",09/26/2017,9.8,8.5,9.2,8.4,,8.85,,,5.8,191.21,,327.5,4.7,89.53,Rain
"Winnipeg, MB, Canada",09/27/2017,18.7,5.1,11.7,4.4,,0.2,,,9.9,232.46,30.4,329.4,2.1,75.64,Rain
"Winnipeg, MB, Canada",09/28/2017,15.6,9.2,12.7,8.1,,0,,,15.7,287.71,37.1,176.9,24.2,66.1,Clear
"Winnipeg, MB, Canada",09/29/2017,15.4,4.2,9.9,6.1,,0,,,6.1,217.75,,178,7.4,71.98,Clear
"Winnipeg, MB, Canada",09/30/2017,21.3,5.6,13.9,6.2,,0.06,,,8.9,212.75,51.8,329.2,3,64.85,Rain
